     Inode Address Inode Number              Path
------------------ ------------------------- ----
0xffff88002c31e2e8                         2 /dev
0xffff88002a134d28                       471 /dev/vcsa7
0xffff88002a134578                       469 /dev/vcs7
0xffff88002e9d9248                       438 /dev/vcsa6
0xffff88002e9d8808                       437 /dev/vcs6
0xffff88002e9d1248                       436 /dev/vcsa5
0xffff88002e9d1c88                       435 /dev/vcs5
0xffff88002e9d22e8                       434 /dev/vcsa4
0xffff88002e9a94d8                       433 /dev/vcs4
0xffff8800008b8d28                       432 /dev/vcsa3
0xffff88002e9b2d28                       431 /dev/vcs3
0xffff88002e9b3248                       430 /dev/vcsa2
0xffff88002e9b3768                       429 /dev/vcs2
0xffff88002e962578                       420 /dev/dvd
0xffff88002e9634d8                       419 /dev/cdrom
0xffff88002baf54d8                       414 /dev/vboxuser
0xffff88002baf5248                       413 /dev/vboxguest
0xffff88002baf4d28                       411 /dev/dri
0xffff88002baf4fb8                       412 /dev/dri/card0
0xffff88002b9e39f8                       407 /dev/snd
0xffff88002a2514d8                       467 /dev/snd/by-path
0xffff88002a251768                       468 /dev/snd/by-path/pci-0000:00:05.0
0xffff88002a8f79f8                       462 /dev/snd/pcmC0D1c
0xffff88002a8f7768                       461 /dev/snd/pcmC0D0c
0xffff88002a8f74d8                       460 /dev/snd/pcmC0D0p
0xffff88002a8f7248                       459 /dev/snd/controlC0
0xffff88002eecad28                       409 /dev/snd/seq
0xffff88002b9e3c88                       408 /dev/snd/timer
0xffff88002b9e3768                       406 /dev/vhost-net
0xffff88002b9e34d8                       405 /dev/uhid
0xffff88002b9e3248                       404 /dev/vhci
0xffff88002b9e2d28                       402 /dev/vfio
0xffff88002b9e2fb8                       403 /dev/vfio/vfio
0xffff88002b9e2a98                       401 /dev/userio
0xffff88002b9e2058                       400 /dev/btrfs-control
0xffff88002b9e22e8                       399 /dev/cuse
0xffff88002e5282e8                       398 /dev/log
0xffff88002b9779f8                       397 /dev/initctl
0xffff88002b976d28                       396 /dev/hugepages
0xffff88002b976808                       395 /dev/mqueue
0xffff88002efa82e8                       394 /dev/shm
0xffff88002efa8058                       393 /dev/autofs
